ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,ARGS
1,apero_badpix_spirou.py,BAD,calib-night,No,
2,apero_loc_spirou.py,LOCCAL,calib-night-CAL,No,{files}=[DARK_FLAT]
3,apero_loc_spirou.py,LOCSCI,calib-night-SCI,No,{files}=[FLAT_DARK]
4,apero_shape_spirou.py,SHAPE,calib-night,No,
5,apero_flat_spirou.py,FF,calib-night,No,{files}=[FLAT_FLAT]
6,apero_thermal_spirou.py,THERM_I,calib-night-I,No,{files}=[DARK_DARK_INT]
7,apero_wave_night_spirou.py,WAVE,calib-night,No,
8,apero_thermal_spirou.py,THERM_T,calib-night-T,No,{files}=[DARK_DARK_TEL]
